ISBN	Title	Author	Publisher	Stock	Price	Publ Date	Genre
9780552149518	The Da Vinci Code	Brown, Dan	Transworld Grp	34	7.99	2004	Crime, Thriller 
9780747532743	Harry Potter and the Philosopher's Stone	Rowling, J. K.	Bloomsbury Grp	58	6.99	1997	Children's Fiction
9780747538486	Harry Potter and the Chamber of Secrets	Rowling, J. K.	Bloomsbury Grp	196	6.99	1999	Children's Fiction
9780552150736	Angels and Demons	Brown, Dan	Transworld Grp	99	7.99	2003	Crime, Thriller & Adventure
9780747551003	Harry Potter and the Order of the Phoenix	Rowling, J. K.	Bloomsbury Grp	224	16.99	2003	Children's Fiction
9780747581086	Harry Potter and the Half-blood Prince:Children's Edition	Rowling, J. K.	Bloomsbury Grp	432	16.99	2005	Children's Fiction
9780747591054	Harry Potter and the Deathly Hallows	Rowling, J. K.	Bloomsbury Grp	47	17.99	2007	Children's Fiction
9780747546290	Harry Potter and the Prisoner of Azkaban	Rowling, J. K.	Bloomsbury Grp	64	6.99	2000	Children's Fiction
9781904233657	Twilight	Meyer, Stephenie	Little, Brown Book Grp	112	7.99	2007	Young Adult Fiction
9780747550990	Harry Potter and the Goblet of Fire	Rowling, J. K.	Bloomsbury Grp	147	8.99	2001	Children's Fiction
9780552151764	Deception Point	Brown, Dan	Transworld Grp	14	7.99	2004	Crime, Thriller & Adventure
9781904233886	New Moon	Meyer, Stephenie	Little, Brown Book Grp	159	7.99	2007	Young Adult Fiction
9780330457729	The Lovely Bones	Sebold, Alice	Pan Macmillan Grp	42	7.99	2009	General & Literary Fiction
9780552151696	Digital Fortress	Brown, Dan	Transworld Grp	193	7.99	2004	Crime, Thriller & Adventure
9780099450252	Curious Incident of the Dog in the Night-time,The	Haddon, Mark	Random House Grp	219	7.99	2004	General & Literary Fiction
9781904233916	Eclipse	Meyer, Stephenie	Little, Brown Book Grp	171	7.99	2008	Young Adult Fiction
9781847245458	Girl with the Dragon Tattoo,The:Millennium Trilogy	Larsson, Stieg	Quercus Grp	175	7.99	2008	Crime, Thriller & Adventure
9780747566533	The Kite Runner	Hosseini, Khaled	Bloomsbury Grp	203	7.99	2004	General & Literary Fiction
9780099464464	The Time Traveler's Wife	Niffenegger, Audrey	Random House Grp	81	7.99	2004	General & Literary Fiction
